,city,hotel_name,people_number,days_number,price,staff,amenities,cleanliness,comfort,value_for_money,location,free_wifi,average_opinion
1615,Gdańsk,Amber House,2,7,1400.0,8.5,7.7,7.6,7.5,7.9,9.6,8.0,7.9
1616,Gdańsk,MustSEA Gdańsk Apartments with underground parking,2,7,1697.0,9.6,9.3,9.3,9.2,9.1,9.2,9.3,7.8
1617,Gdańsk,Apartamenty Chleb i Wino,2,7,2084.0,9.5,9.0,9.3,9.3,9.1,9.8,9.4,9.3
1618,Gdańsk,Bielski Guesthouse,2,7,1580.0,9.0,8.3,8.6,8.4,8.7,9.7,9.2,9.2
1619,Gdańsk,La Petite APARTMENTS&ROOMS,2,7,1210.0,8.8,8.1,8.6,8.4,8.4,8.1,8.6,8.5
1620,Gdańsk,Forsycja,2,7,1047.0,9.3,8.9,9.4,8.9,9.2,9.0,8.6,8.3
1621,Gdańsk,hostel52,2,7,945.0,9.1,8.6,9.0,8.5,8.6,8.1,9.8,9.0
1622,Gdańsk,Apartamenty Szlachecki i Pod Artusem,2,7,1480.0,9.7,9.5,9.7,9.5,9.5,9.8,9.1,8.6
1623,Gdańsk,Citrus Room,2,7,546.0,9.2,9.2,9.2,9.2,9.2,9.2,,9.5
1624,Gdańsk,Hotel Galion,2,7,2339.0,9.2,8.2,8.6,8.2,8.4,8.9,8.4,9.2
1625,Gdańsk,Staywin Aura Gdańsk I,2,7,1288.0,8.4,8.4,8.5,8.4,8.4,9.3,8.6,8.4
1626,Gdańsk,Angielska Grobla Old Town by Q4Apartments,2,7,1771.0,9.1,8.8,9.0,8.9,8.8,9.7,9.5,8.5
1627,Gdańsk,Old Town by Welcome Apartment,2,7,2147.0,9.1,9.0,9.2,9.1,8.8,9.7,8.9,8.0
1628,Gdańsk,Willa Ela,2,7,1293.0,8.7,8.0,8.3,8.1,8.3,8.7,8.2,8.9
1629,Gdańsk,Villa Stratus,2,7,1839.0,9.4,8.8,9.4,8.9,9.1,8.7,9.1,9.0
